Afghanistan	1
Algeria	1
Australia	23
Austria	3
Bahrain	33
Belgium	1
Brazil	1
Cambodia	1
Canada	13
Croatia	3
Denmark	1
Egypt	1
Estonia	1
Finland	2
France	38
Georgia	1
Germany	46
Greece	3
Hong Kong	92
India	3
Iran	245
Iraq	7
Israel	3
Italy	655
Japan	214
Kuwait	43
Lebanon	2
Macau	10
China	78498
Malaysia	23
Nepal	1
Netherlands	1
Macedonia	1
Norway	1
Oman	4
Others	705
Pakistan	2
Philippines	3
Romania	1
Russia	2
San Marino	1
Singapore	93
South Korea	1766
Spain	15
Sri Lanka	1
Sweden	7
Switzerland	8
Taiwan	32
Thailand	40
United Kingdom	15
United States of America	60
United Arab Emirates	13
Vietnam	16
