Albania	0.0
Armenia	0.05
Austria	0.1
Belarus	0.15
Belgium	0.2
Bosnia and Herzegovina	0.25
Bulgaria	0.3
Croatia	0.35
Cyprus	0.4
Czechia	0.45
Denmark	0.5
Estonia	0.55
Faroe Islands	0.6
France	0.65
Georgia	0.7
Germany	0.75
Gibraltar	0.8
Greenland	0.85
Guernsey	0.9
Hungary	0.95
Iceland	1.0
Ireland	0.0
Isle of Man	0.1
Italy	0.2
Latvia	0.3
Liechtenstein	0.4
Lithuania	0.5
Luxembourg	0.6
Macedonia	0.7
Montenegro	0.8
Netherlands	0.9
Poland	0.1
Portugal	1.0
Romania	0.0
Russia	0.1
Slovakia	0.2
Slovenia	0.3
Sweden	0.4
Switzerland	0.5
United Kingdom	0.7
Vatican City	0.8
